"lat","lon","RSSI_1","RSSI_2","RSSI_3","RSSI_4","RSSI_5","RSSI_6"
-8.072565,-34.89175,-47.79,-68.79,-63.456666666667,-45.89,-56.89,-76.79
-8.069362,-34.90062,-69.223333333333,-66.756666666667,-69.756666666667,-67.923333333333,-77.29,-66.323333333333
-8.060637,-34.905296,-82.09,-69.14,-72.99,-75.29,-79.39,-81.04
-8.068022,-34.890579,-71.823333333333,-76.69,-78.923333333333,-68.923333333333,-47.056666666667,-71.69
-8.076449,-34.899715,-66.29,-52.69,-70.556666666667,-74.99,-82.89,-88.323333333333
-8.06541,-34.886665,-65.423333333333,-75.956666666667,-75.79,-72.723333333333,-60.29,-73.59
-8.069008,-34.891277,-69.856666666667,-75.823333333333,-77.923333333333,-61.923333333333,-25.1233333333333,-71.523333333333
-8.072409,-34.896553,-43.59,-45.94,-58.24,-37.99,-74.74,-71.54
-8.069531,-34.890915,-53.49,-79.556666666667,-69.756666666667,-59.223333333333,-53.09,-63.656666666667
-8.071,-34.896893,-44.5233333333333,-63.823333333333,-65.056666666667,-54.756666666667,-74.856666666667,-67.19
-8.076325,-34.895397,-60.456666666667,-46.923333333333,-71.99,-61.956666666667,-72.49,-82.656666666667
-8.069839,-34.89772,-41.4566666666667,-62.056666666667,-65.523333333333,-57.59,-65.523333333333,-44.59
-8.072716,-34.896481,-41.2233333333333,-45.123333333333,-62.69,-38.3566666666667,-67.623333333333,-70.656666666667
-8.069677,-34.896381,-56.89,-48.04,-62.49,-34.19,-65.64,-65.24
-8.069913,-34.890263,-56.223333333333,-79.223333333333,-73.323333333333,-62.123333333333,-52.59,-67.423333333333
-8.069947,-34.896019,-40.49,-61.34,-68.79,-58.69,-71.54,-65.94
-8.073175,-34.896347,-33.39,-62.023333333333,-55.623333333333,-47.823333333333,-60.79,-78.99
-8.073355,-34.896797,-55.69,-52.856666666667,-40.49,-49.923333333333,-70.423333333333,-82.123333333333
-8.076955,-34.897617,-58.423333333333,-24.59,-73.856666666667,-60.89,-77.19,-83.823333333333
-8.075413,-34.892742,-62.223333333333,-73.69,-69.356666666667,-50.023333333333,-68.823333333333,-86.256666666667
-8.068491,-34.889561,-66.623333333333,-78.49,-78.923333333333,-64.856666666667,-45.523333333333,-81.823333333333
-8.066859,-34.894768,-66.823333333333,-73.156666666667,-69.423333333333,-69.223333333333,-72.756666666667,-50.69
-8.067781,-34.8923,-72.39,-66.59,-71.79,-48.556666666667,-60.723333333333,-56.656666666667
-8.070737,-34.892319,-52.556666666667,-70.556666666667,-66.356666666667,-57.223333333333,-50.823333333333,-65.223333333333
-8.064037,-34.885757,-61.123333333333,-78.056666666667,-80.756666666667,-72.623333333333,-85.556666666667,-85.123333333333
-8.077255,-34.898281,-63.056666666667,-31.5233333333333,-69.656666666667,-67.756666666667,-73.09,-78.623333333333
-8.075749,-34.893822,-57.44,-64.79,-69.64,-56.04,-71.69,-83.54
-8.061242,-34.904232,-79.54,-59.54,-73.465,-75.865,-73.69,-73.54
-8.06858,-34.897083,-63.54,-65.84,-63.74,-57.19,-68.74,-47.49
-8.069679,-34.900742,-69.44,-73.015,-62.04,-69.465,-77.315,-66.49
-8.068231,-34.891853,-52.89,-75.756666666667,-71.123333333333,-63.59,-61.156666666667,-65.223333333333
-8.072382,-34.900692,-57.34,-54.39,-64.34,-66.64,-83.84,-71.64
-8.069277,-34.899166,-46.856666666667,-52.19,-59.49,-59.923333333333,-56.59,-44.49
-8.06582,-34.892277,-85.156666666667,-73.356666666667,-71.156666666667,-78.956666666667,-47.49,-62.923333333333
-8.068569,-34.896946,-55.89,-63.59,-58.49,-52.54,-69.54,-57.29
-8.067173,-34.893955,-56.09,-76.256666666667,-73.256666666667,-71.79,-68.056666666667,-53.156666666667
-8.068574,-34.897015,-56.59,-61.79,-66.756666666667,-47.056666666667,-70.456666666667,-57.756666666667
-8.068906,-34.889633,-71.19,-73.34,-76.14,-55.69,-46.39,-86.09
-8.074477,-34.890209,-43.6233333333333,-77.123333333333,-65.29,-57.556666666667,-56.923333333333,-78.256666666667
-8.070496,-34.896629,-43.3566666666667,-62.156666666667,-62.723333333333,-44.9566666666667,-73.256666666667,-71.256666666667
-8.068591,-34.897282,-55.756666666667,-59.056666666667,-61.59,-53.723333333333,-73.656666666667,-46.19
-8.075944,-34.89986,-71.39,-62.24,-63.14,-77.89,-84.19,-84.69
-8.070827,-34.891975,-47.856666666667,-78.623333333333,-74.656666666667,-59.49,-36.5566666666667,-71.99
-8.070016,-34.896091,-54.556666666667,-65.156666666667,-62.623333333333,-55.79,-71.89,-57.523333333333
-8.075283,-34.892357,-56.89,-73.79,-70.456666666667,-44.39,-70.856666666667,-81.99
-8.073019,-34.896603,-45.89,-43.1566666666667,-66.756666666667,-39.4566666666667,-67.156666666667,-66.89
-8.070765,-34.892612,-47.056666666667,-67.723333333333,-70.756666666667,-54.156666666667,-52.723333333333,-51.823333333333
-8.063125,-34.888653,-65.623333333333,-74.923333333333,-86.723333333333,-71.756666666667,-75.023333333333,-80.69
-8.066168,-34.896164,-75.19,-56.64,-68.89,-66.59,-60.79,-50.29
-8.066115,-34.896904,-60.39,-49.34,-60.64,-46.89,-69.54,-43.74
-8.069547,-34.890797,-54.856666666667,-75.556666666667,-65.323333333333,-53.89,-45.756666666667,-51.456666666667
-8.065236,-34.889542,-84.323333333333,-73.523333333333,-78.19,-77.023333333333,-64.156666666667,-79.023333333333
-8.071577,-34.892117,-50.323333333333,-70.856666666667,-71.356666666667,-54.19,-35.6566666666667,-82.29
-8.072796,-34.895218,-36.74,-66.69,-44.94,-50.99,-60.19,-73.24
-8.066686,-34.89278,-75.79,-64.04,-71.09,-75.24,-75.04,-41.69
-8.070496,-34.893139,-47.89,-64.923333333333,-66.656666666667,-46.99,-49.49,-56.49
-8.06952,-34.895069,-51.056666666667,-74.69,-64.123333333333,-57.756666666667,-59.056666666667,-61.223333333333
-8.06937,-34.895382,-48.523333333333,-62.39,-62.356666666667,-43.5566666666667,-60.523333333333,-59.656666666667
-8.065811,-34.890656,-80.906666666667,-83.04,-82.906666666667,-77.356666666667,-63.59,-66.44
-8.066189,-34.896839,-74.89,-41.99,-66.156666666667,-56.29,-66.956666666667,-35.6233333333333
-8.07478,-34.890759,-62.923333333333,-70.99,-69.856666666667,-43.9566666666667,-79.656666666667,-92.19
-8.063355,-34.886578,-68.923333333333,-87.39,-83.89,-82.89,-85.123333333333,-90.556666666667
-8.065565,-34.887104,-63.34,-77.865,-71.365,-70.14,-67.04,-78.815
-8.068648,-34.896412,-60.39,-63.79,-61.24,-51.19,-64.79,-50.14
-8.066417,-34.895592,-63.69,-67.023333333333,-71.923333333333,-66.656666666667,-62.39,-46.023333333333
-8.074844,-34.890968,-57.665,-68.365,-69.74,-41.79,-73.515,-90.84
-8.073983,-34.900448,-64.44,-60.39,-63.84,-68.59,-86.84,-85.49
-8.077371,-34.89938,-73.49,-56.356666666667,-71.99,-81.356666666667,-78.056666666667,-90.356666666667
-8.075326,-34.900059,-68.99,-59.04,-65.24,-79.49,-85.19,-80.14
-8.075809,-34.89991,-67.423333333333,-66.09,-72.523333333333,-72.49,-79.623333333333,-87.623333333333
-8.068838,-34.900394,-55.565,-60.065,-65.615,-65.14,-71.0525,-53.4025
-8.065456,-34.892818,-82.44,-65.69,-76.54,-72.89,-63.94,-68.54
-8.068849,-34.900265,-45.59,-56.356666666667,-62.423333333333,-61.29,-67.823333333333,-43.9566666666667
-8.069221,-34.899311,-44.44,-55.89,-61.64,-64.59,-59.04,-45.69
-8.077023,-34.897827,-61.623333333333,-31.5566666666667,-72.023333333333,-66.49,-74.756666666667,-80.623333333333
-8.068281,-34.890709,-71.623333333333,-75.89,-81.49,-61.89,-37.29,-73.623333333333
-8.071679,-34.900776,-70.556666666667,-63.723333333333,-66.856666666667,-60.89,-83.19,-80.19
-8.074692,-34.890453,-58.59,-75.09,-75.64,-45.04,-76.89,-93.34
-8.064395,-34.894382,-76.79,-63.323333333333,-71.523333333333,-82.09,-74.123333333333,-61.756666666667
-8.069779,-34.890491,-57.89,-76.39,-70.923333333333,-59.256666666667,-56.69,-54.59
-8.069905,-34.896305,-48.023333333333,-48.99,-58.39,-40.6233333333333,-68.823333333333,-68.29
